id,scenario_id,regulation,function,category,subcategory,difficulty,financial_domain,risk_level,source_section,question,ground_truth,legal_basis,governance_axis,notes
Q001,S001,NIST_AI_RMF,GOVERN,AI Governance Committee — Structure & Mandate,Roles and Responsibilities,basic,common,high,GOVERN 2.1,"A Korean commercial bank is establishing an AI Review Committee (AI심의위원회). According to the NIST AI RMF, what roles and responsibilities must be clearly defined and documented for the committee to function effectively?","Under NIST AI RMF GOVERN 2.1, roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks must be documented and clear to individuals and teams throughout the organization. For an AI Review Committee in a financial institution, this requires: (1) designating who is accountable for AI risk identification (Map function owners), (2) who conducts performance and risk measurement (Measure function owners), (3) who makes risk treatment decisions (Manage function owners), and (4) how these roles communicate within the committee and to executive leadership. GOVERN 2.3 further requires that executive leadership takes responsibility for decisions about risks associated with AI system development and deployment.",NIST AI RMF GOVERN 2.1; GOVERN 2.3,G4,Core question for AI Review Committee design; maps to AI기본법 제34조④ and EU AI Act Art.26
Q002,S001,NIST_AI_RMF,GOVERN,AI Governance Committee — Structure & Mandate,Legal and Regulatory Awareness,basic,common,medium,GOVERN 1.1,"Before convening its first AI Review Committee meeting, a financial institution asks: what regulatory and legal requirements must the committee understand and document according to NIST AI RMF?","NIST AI RMF GOVERN 1.1 requires that legal and regulatory requirements involving AI are understood, managed, and documented. For a Korean financial institution operating globally, this includes: the Korean AI Basic Act (고영향 AI 요건, 제34조 사업자 책무), the EU AI Act (High-Risk AI obligations under Annex III for credit scoring and insurance AI), and the NIST AI RMF itself as a voluntary framework. The committee should document which regulations apply to each AI system in its portfolio, create a regulatory mapping matrix, and establish a process for tracking regulatory updates. Financial-specific regulations such as FSC guidelines and Basel III model risk management requirements should also be included.",NIST AI RMF GOVERN 1.1,G4,Entry point for 3-regulation integration; triggers cross-regulatory mapping
Q003,S002,NIST_AI_RMF,GOVERN,Risk Tolerance & Policy,Organizational Risk Tolerance,intermediate,common,high,GOVERN 1.3; GOVERN 1.4,A bank's AI Review Committee must set risk tolerance levels for AI systems used in credit scoring. How should the committee define and document risk tolerance according to NIST AI RMF?,"NIST AI RMF GOVERN 1.3 states that processes, procedures, and practices must be in place to determine the needed level of risk management activities based on the organization's risk tolerance. GOVERN 1.4 requires that risk management processes and outcomes are established through transparent policies based on organizational risk priorities. For credit scoring AI, the committee should: (1) define quantitative thresholds (e.g., maximum acceptable false rejection rate for loan applicants), (2) differentiate risk tolerance by AI system criticality and potential customer impact, (3) document tolerance levels in a board-approved AI risk policy, and (4) establish escalation triggers when risk measurements exceed tolerance thresholds. Risk tolerance for credit AI must also account for fairness and bias considerations per NIST AI RMF's trustworthiness characteristics.",NIST AI RMF GOVERN 1.3; GOVERN 1.4,G1,Critical for financial AI governance; credit scoring AI is High-Risk under EU AI Act Annex III §5(b)
Q004,S002,NIST_AI_RMF,GOVERN,Risk Tolerance & Policy,Trustworthiness Characteristics Integration,intermediate,common,medium,GOVERN 1.2,"The AI Review Committee wants to embed trustworthiness principles into the bank's AI governance policy. Which trustworthiness characteristics does NIST AI RMF identify, and how should each be reflected in financial AI governance?","NIST AI RMF identifies seven trustworthiness characteristics: (1) Valid and Reliable — AI systems must perform accurately and consistently, critical for credit and fraud AI; (2) Safe — AI must not endanger health, property, or financial security; (3) Secure and Resilient — AI must withstand adversarial attacks and data poisoning, especially in fraud detection; (4) Accountable and Transparent — financial institutions must be able to explain AI decisions to regulators and customers; (5) Explainable and Interpretable — particularly important for loan denial explanations; (6) Privacy-Enhanced — AI must protect personal financial data; (7) Fair with Harmful Bias Managed — credit AI must not discriminate by demographic group. GOVERN 1.2 requires these characteristics to be integrated into organizational policies, processes, and practices. The AI Review Committee should create a trustworthiness checklist applied at each AI system review.",NIST AI RMF GOVERN 1.2; Part 1 Section 3,G3,7 trustworthiness characteristics are the theoretical backbone of the governance framework
Q005,S003,NIST_AI_RMF,GOVERN,AI Inventory & Lifecycle Management,AI System Inventory,basic,common,medium,GOVERN 1.6,"A large financial holding company operates over 50 AI systems across lending, insurance, investment, and fraud detection. How should the AI Review Committee manage the AI system inventory according to NIST AI RMF?","NIST AI RMF GOVERN 1.6 requires that mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities. For a financial holding company, the AI Review Committee should: (1) maintain a centralized AI system registry including system name, purpose, data inputs, output types, deployment status, and risk classification; (2) prioritize review frequency based on risk level — high-risk systems (credit scoring, insurance pricing) reviewed quarterly, lower-risk systems reviewed annually; (3) track third-party AI systems and vendor-provided models separately (GOVERN 6); (4) link the inventory to the regulatory mapping (EU AI Act Annex III High-Risk classification, AI Basic Act 고영향 AI list) to identify systems with elevated regulatory obligations; and (5) assign a responsible owner for each AI system in the inventory.",NIST AI RMF GOVERN 1.6; GOVERN 6.1,G4,Inventory management is prerequisite for all other governance functions
Q006,S003,NIST_AI_RMF,GOVERN,AI Inventory & Lifecycle Management,Decommissioning,advanced,common,medium,GOVERN 1.7,A bank's credit scoring model has been flagged for systematic bias against certain demographic groups. The AI Review Committee must decide on decommissioning. What does NIST AI RMF require for safe decommissioning?,"NIST AI RMF GOVERN 1.7 requires that processes and procedures are in place for decommissioning and phasing out AI systems safely and in a manner that does not increase risks or decrease the organization's trustworthiness. For a biased credit scoring AI, the committee should: (1) conduct an impact assessment of decommissioning on ongoing credit decisions and customer relationships; (2) develop a transition plan to a replacement system that avoids the identified bias; (3) notify affected customers and regulators as required; (4) ensure data used by the decommissioned system is handled per privacy requirements; (5) document the bias findings, committee decision rationale, and remediation actions for audit purposes; and (6) conduct a post-decommission review to confirm risks have been adequately addressed. MANAGE 2.4 also supports this by requiring mechanisms to supersede or deactivate AI systems with problematic outcomes.",NIST AI RMF GOVERN 1.7; MANAGE 2.4,G2,Decommissioning scenario; connects to AI기본법 제32조 안전성 확보 의무
Q007,S004,NIST_AI_RMF,GOVERN,Human Oversight & Accountability,Executive Accountability,intermediate,common,high,GOVERN 2.3,"A Korean bank's CRO (Chief Risk Officer) asks: what is the executive leadership's specific responsibility for AI risk governance under NIST AI RMF, and how does this translate to the AI Review Committee structure?","NIST AI RMF GOVERN 2.3 explicitly states that executive leadership of the organization takes responsibility for decisions about risks associated with AI system development and deployment. This means: (1) the Board of Directors or equivalent governing body should approve the AI risk policy and overall risk tolerance; (2) C-suite executives (CEO, CRO, CTO) are accountable for AI risk management outcomes — not just oversight; (3) the AI Review Committee should include or directly report to executive leadership, with a clear escalation path for high-risk AI decisions; (4) executives must ensure adequate resources (budget, personnel, tools) are allocated for AI risk management; and (5) executive decisions on AI system deployment must be documented and traceable. The Appendix A of NIST AI RMF identifies governance and oversight as tasks of organizational management, senior leadership, and the Board of Directors.",NIST AI RMF GOVERN 2.3; Appendix A,G4,Executive accountability is key SSCI contribution point; connects to AI기본법 제7조 위원회 구조
Q008,S004,NIST_AI_RMF,GOVERN,Human Oversight & Accountability,Human-AI Configuration,advanced,lending,high,GOVERN 3.2,"A bank's loan approval process uses an AI system that recommends decisions, with human loan officers making final approvals. How should the AI Review Committee define and document human-AI roles according to NIST AI RMF?","NIST AI RMF GOVERN 3.2 requires that policies and procedures are in place to define and differentiate roles and responsibilities for human-AI configurations and oversight of AI systems. For a loan approval process, the committee should document: (1) the AI system's role as a recommendation engine, not a decision-maker — the human loan officer retains final authority; (2) the specific criteria under which a human must override the AI recommendation (e.g., edge cases, high-value loans, customer appeals); (3) the human officer's minimum competency requirements for interpreting AI outputs (AI literacy per GOVERN 2.2); (4) logging requirements for cases where humans override AI recommendations, to enable pattern analysis; (5) the escalation path when AI and human assessments significantly diverge. Appendix C of NIST AI RMF emphasizes that human roles in AI-assisted decision-making must be clearly defined and that humans should be empowered and incentivized to challenge AI output.",NIST AI RMF GOVERN 3.2; Appendix C,G2,Human-in-the-loop design; critical for financial credit AI governance
Q009,S005,NIST_AI_RMF,GOVERN,AI Risk Culture & Training,AI Risk Training,basic,common,low,GOVERN 2.2,The AI Review Committee plans to roll out an AI risk training program for all staff involved in AI systems. What training requirements does NIST AI RMF specify?,"NIST AI RMF GOVERN 2.2 requires that the organization's personnel and partners receive AI risk management training to enable them to perform their duties and responsibilities consistent with related policies, procedures, and agreements. For a financial institution, this training program should: (1) be role-differentiated — data scientists receive technical AI risk training, business owners receive risk identification training, compliance staff receive regulatory mapping training, and executives receive AI risk governance training; (2) cover the seven trustworthiness characteristics and how they apply to each employee's role; (3) include practical scenarios relevant to financial AI use cases (credit scoring bias, fraud detection errors, investment algorithm failures); (4) be conducted periodically (at minimum annually) and updated as new AI systems are deployed; and (5) include assessment of training effectiveness. AI literacy as required by EU AI Act Article 4 should be incorporated.",NIST AI RMF GOVERN 2.2,G4,Training aligns with EU AI Act Art.4 AI Literacy requirement
Q010,S005,NIST_AI_RMF,GOVERN,AI Risk Culture & Training,Safety-First Culture,intermediate,common,medium,GOVERN 4.1; GOVERN 4.2,"How should the AI Review Committee foster a safety-first AI risk culture within the financial institution, and what documentation practices does NIST AI RMF require?","NIST AI RMF GOVERN 4.1 requires organizational policies and practices to foster a critical thinking and safety-first mindset in AI design, development, deployment, and use to minimize negative impacts. GOVERN 4.2 requires that teams document risks and potential impacts of AI technology and communicate these impacts broadly. For a financial institution, this means: (1) establishing a 'speak up' policy where any employee can flag AI risk concerns without retaliation; (2) requiring all AI project teams to complete a risk and impact documentation before deployment approval by the AI Review Committee; (3) publishing internal AI risk dashboards accessible to all relevant staff; (4) celebrating examples of employees identifying and preventing AI risks; (5) integrating AI risk culture metrics into performance evaluations; and (6) sharing AI incident learnings across teams (GOVERN 4.3 requires AI testing, incident identification, and information sharing practices).",NIST AI RMF GOVERN 4.1; GOVERN 4.2; GOVERN 4.3,G4,Organizational culture dimension; important for SSCI paper's practical implications section
