id,condition,regulation,difficulty,financial_domain,risk_level,governance_axis,G1_score,G1_rationale
Q001,baseline,NIST_AI_RMF,basic,common,high,G4,0.8,The response accurately outlines key roles and responsibilities for the AI Review Committee but lacks specific references to the NIST AI RMF's requirements for accountability and communication lines as detailed in the ground truth.
Q002,baseline,NIST_AI_RMF,basic,common,medium,G4,0.6,"The response includes relevant regulatory requirements but lacks specific mention of the Korean AI Basic Act and the EU AI Act, which are critical for a Korean financial institution operating globally."
Q003,baseline,NIST_AI_RMF,intermediate,common,high,G1,0.8,The response accurately addresses key elements of defining and documenting risk tolerance according to NIST AI RMF but omits specific details about differentiating risk tolerance by AI system criticality and potential customer impact.
Q004,baseline,NIST_AI_RMF,intermediate,common,medium,G3,0.6,The response identifies some trustworthiness characteristics but omits key elements from the NIST AI RMF and does not fully align with the specific requirements for financial AI governance.
Q005,baseline,NIST_AI_RMF,basic,common,medium,G4,0.8,The response accurately outlines key steps for managing the AI system inventory but omits specific details about prioritizing review frequency based on risk level and tracking third-party systems.
Q006,baseline,NIST_AI_RMF,advanced,common,medium,G2,0.8,"The AI response accurately addresses key aspects of the NIST AI RMF requirements for decommissioning, but it omits specific details about the necessary impact assessment and post-decommission review."
Q007,baseline,NIST_AI_RMF,intermediate,common,high,G4,0.6,"The response contains some correct elements regarding executive responsibilities and the AI Review Committee structure but lacks specific details from the NIST AI RMF, such as the need for Board approval of AI risk policy and the documentation of executive decisions."
Q008,baseline,NIST_AI_RMF,advanced,lending,high,G2,0.8,"The response accurately outlines the roles of the AI system and human officers, but it lacks specific details on override criteria and logging requirements as per the ground truth."
Q009,baseline,NIST_AI_RMF,basic,common,low,G4,0.6,"The response includes some correct elements regarding AI risk training but lacks specific details from the NIST AI RMF, such as role differentiation and practical scenarios."
Q010,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.8,"The response accurately addresses the need for a safety-first culture and outlines relevant documentation practices, but it omits specific details from the ground truth regarding the 'speak up' policy and the requirement for risk and impact documentation before deployment approval."
Q011,baseline,NIST_AI_RMF,intermediate,common,high,G4,0.8,The response accurately addresses key steps for managing third-party AI risks per NIST AI RMF but omits specific requirements from GOVERN 6.1 and 6.2 regarding vendor documentation and contingency plans.
Q012,baseline,NIST_AI_RMF,advanced,common,high,G2,0.8,"The response accurately identifies several risks associated with pre-trained models and provides relevant recommendations, but it omits specific risks mentioned in the ground truth, such as statistical uncertainty and failure modes."
Q013,baseline,NIST_AI_RMF,basic,lending,high,G1,0.6,"The response includes relevant elements but lacks specific details required by NIST AI RMF MAP 1.1, such as the specific purpose of the credit scoring system and the applicable legal context."
Q014,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.6,"The response includes some relevant elements of risk tolerance but lacks specific details and key components outlined in the ground truth, such as performance thresholds and fairness metrics."
Q015,baseline,NIST_AI_RMF,basic,lending,low,G1,0.6,The response includes some relevant components of the NIST AI RMF but lacks specific details about assessing business value as outlined in the ground truth.
Q016,baseline,NIST_AI_RMF,intermediate,insurance,high,G1,0.6,The response contains some correct elements regarding categorization and regulatory provisions but lacks specific details on knowledge limits and the required documentation as per NIST AI RMF.
Q017,baseline,NIST_AI_RMF,intermediate,insurance,high,G2,0.6,"The response includes some relevant elements regarding human oversight but lacks specific details and requirements outlined in the NIST AI RMF, such as the scope of oversight, competency requirements, and monitoring of override patterns."
Q018,baseline,NIST_AI_RMF,intermediate,fraud_detection,medium,G2,0.6,"The response includes some correct elements regarding risk assessment and stakeholder engagement but lacks specific details from the NIST AI RMF MAP 5.1 and MAP 5.2, as well as the comprehensive impact analysis required."
Q019,baseline,NIST_AI_RMF,advanced,fraud_detection,high,G4,0.8,The response accurately addresses legal and technical risk mapping but omits specific details from the NIST AI RMF and some critical internal controls.
Q020,baseline,NIST_AI_RMF,basic,investment,high,G1,0.8,The response accurately addresses the documentation requirements related to intended purpose and organizational goals but omits specific legal context and deployment settings as outlined in the ground truth.
Q021,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.6,"The response includes some correct elements regarding performance metrics but lacks specific details and key metrics outlined in the ground truth, such as stability and business impact metrics."
Q022,baseline,NIST_AI_RMF,advanced,lending,high,G2,0.8,The response addresses key aspects of fairness evaluation and compliance but lacks specific details on statistical significance and root cause analysis as outlined in the ground truth.
Q023,baseline,NIST_AI_RMF,intermediate,common,high,G1,0.6,"The response includes some relevant testing elements but lacks specific details on required testing measures such as holdout validation, boundary testing, and fairness testing, which are critical for demonstrating validity, reliability, and safety per NIST AI RMF."
Q024,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response includes some relevant elements regarding security and resilience evaluation but lacks specific details and examples outlined in the ground truth, such as the specific types of attacks and the requirement for resilience testing."
Q025,baseline,NIST_AI_RMF,intermediate,lending,high,G3,0.8,"The response accurately addresses the need for explainability and outlines actionable steps, but it lacks specific references to NIST AI RMF Measures 2.8 and 2.9 and does not fully detail the requirements for explanation quality."
Q026,baseline,NIST_AI_RMF,intermediate,common,high,G3,0.8,"The response accurately addresses key aspects of the NIST AI RMF for privacy risk evaluation but omits specific details about re-identification risk, inference risks, training data privacy, data retention, and privacy-enhancing techniques."
Q027,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.8,The response accurately addresses key aspects of detecting and responding to model drift per NIST AI RMF but omits specific details about quantifying degradation and assessing business impact.
Q028,baseline,NIST_AI_RMF,basic,common,medium,G2,0.6,The response includes some relevant elements for establishing a feedback process but lacks specific details from the NIST AI RMF measures and does not fully address the requirements outlined in the ground truth.
Q029,baseline,NIST_AI_RMF,advanced,common,high,G4,0.6,"The response includes some correct elements regarding independent assessments but lacks specific details from the ground truth, such as the requirement for involvement of internal experts and external auditors, and does not mention specific measures like red-teaming or community consultation."
Q030,baseline,NIST_AI_RMF,advanced,lending,high,G4,0.6,"The response includes some relevant elements of the NIST AI RMF but lacks specific details about the go/no-go framework outlined in the ground truth, such as performance thresholds and documentation requirements."
Q031,baseline,NIST_AI_RMF,intermediate,lending,high,G4,0.6,The AI response includes some correct elements regarding risk response options but lacks specific details and clarity on the NIST AI RMF's recommendations for unacceptable false rejection rates.
Q032,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response includes some correct elements of the incident response process but lacks specific details required by NIST AI RMF, such as the immediate response actions and regulatory notifications."
Q033,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.6,The response includes some relevant elements for continuous improvement but lacks specific measurable targets and detailed actions as outlined in the ground truth.
Q034,baseline,NIST_AI_RMF,advanced,common,high,G4,0.6,"The AI response includes some correct elements regarding risk assessment and documentation but lacks specific details from the ground truth, such as the need to enumerate and quantify residual risks, obtain formal acceptance, and communicate risks to downstream users."
Q035,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.6,The response includes some relevant elements from the NIST AI RMF but lacks specific details on mechanisms for sustaining AI value and the precise deactivation criteria outlined in the ground truth.
Q036,baseline,NIST_AI_RMF,basic,common,low,G4,0.8,"The response accurately outlines the need for diverse perspectives in AI risk management and provides actionable steps, but it lacks specific details on demographic and experience diversity as emphasized in the ground truth."
Q037,baseline,NIST_AI_RMF,intermediate,common,low,G3,0.6,"The response includes some correct elements regarding stakeholder engagement and feedback mechanisms but lacks specific details and requirements outlined in the ground truth, such as the specific provisions of GOVERN 5.1 and 5.2."
Q038,baseline,NIST_AI_RMF,intermediate,compliance,high,G1,0.8,The response accurately addresses the need for contextual and impact documentation but omits specific legal contexts and detailed positive and negative impacts as outlined in the ground truth.
Q039,baseline,NIST_AI_RMF,basic,common,low,G4,0.6,"The response includes some relevant elements regarding environmental impact assessment but lacks specific details and requirements outlined in the NIST AI RMF, such as the specific measures and documentation processes."
Q040,baseline,NIST_AI_RMF,advanced,common,medium,G4,0.8,The AI response accurately outlines the core functions and considerations for developing a sector-specific AI RMF profile but omits specific steps such as conducting a Current Profile assessment and defining a Target Profile.
Q041,baseline,NIST_AI_RMF,intermediate,investment,medium,G1,0.8,The response accurately addresses the need for defining the application scope and operator proficiency requirements but lacks specific details about the robo-advisory AI's capabilities and limitations as outlined in the ground truth.
Q042,baseline,NIST_AI_RMF,advanced,insurance,high,G1,0.6,"The response includes some relevant elements of the NIST AI RMF but lacks specific details about the required validation measures for generalizability beyond training data, as outlined in the ground truth."
Q043,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response includes relevant regulatory references and general actions to address bias, but it lacks specific steps outlined in the NIST AI RMF and does not fully address the required containment, root cause analysis, and remediation actions."
Q044,baseline,NIST_AI_RMF,basic,common,low,G4,0.6,The response includes some relevant recommendations for enhancing AI literacy but lacks specific details from the NIST AI RMF and misses critical elements such as the requirement for annual briefings and independent assurance on AI risk management.
Q045,baseline,NIST_AI_RMF,intermediate,common,medium,G1,0.6,"The response includes some relevant elements but lacks specific details about knowledge limits, legal context, and potential harms as required by the NIST AI RMF."
Q046,baseline,NIST_AI_RMF,advanced,common,high,G1,0.6,The response includes some relevant elements from the NIST AI RMF but lacks specific details about the required metrics and thresholds outlined in the ground truth.
Q047,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.6,"The AI response includes some relevant elements of the NIST AI RMF's MANAGE function but lacks specific details on the required documentation, risk prioritization, and structured voting process outlined in the ground truth."
