id,condition,regulation,difficulty,financial_domain,risk_level,governance_axis,G4_score,G4_rationale
Q001,baseline,NIST_AI_RMF,basic,common,high,G4,0.8,"The response identifies key roles and responsibilities for the AI Review Committee and aligns with NIST AI RMF requirements, but it lacks explicit mention of the need for accountability in risk identification, measurement, and management as specified in GOVERN 2.1."
Q002,baseline,NIST_AI_RMF,basic,common,medium,G4,0.6,"The response identifies some relevant regulatory requirements but omits critical aspects of the NIST AI RMF and specific obligations under the Korean AI Basic Act and EU AI Act, leading to notable omissions."
Q003,baseline,NIST_AI_RMF,intermediate,common,high,G1,0.8,The response mostly complies with NIST AI RMF requirements by identifying key elements for defining risk tolerance but lacks explicit mention of the need for transparency in policies and does not fully address the importance of aligning with organizational risk priorities.
Q004,baseline,NIST_AI_RMF,intermediate,common,medium,G3,0.8,"The response identifies and interprets several key trustworthiness characteristics from the NIST AI RMF, but it omits the specific mention of 'Safe' and 'Secure and Resilient', which are critical for financial AI governance."
Q005,baseline,NIST_AI_RMF,basic,common,medium,G4,0.6,"The response addresses some key requirements of the NIST AI RMF but omits specific obligations related to inventory management, such as prioritizing review frequency based on risk level and linking the inventory to regulatory mapping."
Q006,baseline,NIST_AI_RMF,advanced,common,medium,G2,0.8,"The response identifies key provisions of the NIST AI RMF relevant to decommissioning but omits specific requirements from GOVERN 1.7 and MANAGE 2.4, leading to minor regulatory gaps."
Q007,baseline,NIST_AI_RMF,intermediate,common,high,G4,0.8,"The response mostly complies with the NIST AI RMF by identifying key responsibilities of executive leadership and translating them into the AI Review Committee structure, but it lacks explicit mention of the need for documentation and traceability of executive decisions."
Q008,baseline,NIST_AI_RMF,advanced,lending,high,G2,0.8,"The response mostly complies with NIST AI RMF requirements by identifying key roles and documentation needs, but it omits specific logging requirements and escalation paths, which are critical for full compliance."
Q009,baseline,NIST_AI_RMF,basic,common,low,G4,0.8,The response identifies key training areas but omits specific role-differentiated training requirements and the necessity for periodic updates as outlined in the NIST AI RMF.
Q010,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.8,"The response mostly complies with NIST AI RMF requirements by addressing key aspects of fostering a safety-first culture and documentation practices, but it lacks specific mention of the 'speak up' policy and internal AI risk dashboards, which are critical for financial AI governance."
Q011,baseline,NIST_AI_RMF,intermediate,common,high,G4,0.8,The response mostly complies with NIST AI RMF requirements but omits specific obligations such as contingency processes for high-risk vendor AI failures and does not explicitly mention the need for model documentation and performance metrics from vendors.
Q012,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response identifies some relevant risks and recommendations but omits critical aspects of NIST AI RMF, such as specific statistical uncertainties and monitoring obligations, leading to notable omissions."
Q013,baseline,NIST_AI_RMF,basic,lending,high,G1,0.6,"The response addresses several relevant aspects of the NIST AI RMF MAP function but omits specific legal contexts and key compliance obligations related to the Korean AI Basic Act and EU AI Act, leading to notable omissions."
Q014,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.6,"The response addresses some key risk tolerance elements but omits specific performance thresholds, fairness metrics, and regulatory compliance tolerances as outlined in the NIST AI RMF, leading to notable omissions."
Q015,baseline,NIST_AI_RMF,basic,lending,low,G1,0.8,The response identifies key components of the NIST AI RMF and relevant compliance obligations but lacks specific details on the quantitative and qualitative assessments required for business value as outlined in MAP 1.4.
Q016,baseline,NIST_AI_RMF,intermediate,insurance,high,G1,0.6,"The response identifies some relevant regulatory requirements and discusses documentation of knowledge limits, but it omits specific obligations under the NIST AI RMF and misstates the categorization of the AI system as high-risk without directly addressing the NIST requirements."
Q017,baseline,NIST_AI_RMF,intermediate,insurance,high,G2,0.8,The response mostly complies with NIST AI RMF requirements for human oversight in AI-assisted pricing decisions but omits specific details on defining the scope of oversight and monitoring override patterns.
Q018,baseline,NIST_AI_RMF,intermediate,fraud_detection,medium,G2,0.8,"The response identifies key requirements from the NIST AI RMF and interprets obligations related to risk assessment and stakeholder engagement, but it lacks specific details on the magnitude assessment and the exclusion from the EU AI Act, which are critical for full compliance."
Q019,baseline,NIST_AI_RMF,advanced,fraud_detection,high,G4,0.6,"The response addresses some relevant regulatory requirements but notably omits specific obligations under the NIST AI RMF, particularly the detailed mapping and documentation requirements for legal and technical risks."
Q020,baseline,NIST_AI_RMF,basic,investment,high,G1,0.8,"The response mostly complies with NIST AI RMF requirements but omits specific legal context and deployment settings, which are critical for full compliance."
Q021,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.6,"The response partially addresses the NIST AI RMF requirements but omits specific metrics and obligations outlined in the ground truth, leading to notable omissions."
Q022,baseline,NIST_AI_RMF,advanced,lending,high,G2,0.8,"The response identifies relevant regulatory provisions and outlines steps for evaluation and response, but it lacks specific reference to the NIST AI RMF Measure 2.11 and does not fully address the need for ongoing monitoring with fairness dashboards."
Q023,baseline,NIST_AI_RMF,intermediate,common,high,G1,0.8,"The response identifies key testing requirements under the NIST AI RMF but omits specific details on holdout validation, boundary testing, fail-safe testing, fairness testing, and adversarial testing, which are critical for comprehensive compliance."
Q024,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response addresses some key aspects of the NIST AI RMF but omits specific critical requirements related to adversarial attacks, such as detailed evaluations of various attack types and resilience testing protocols."
Q025,baseline,NIST_AI_RMF,intermediate,lending,high,G3,0.6,"The response addresses some key compliance obligations under the NIST AI RMF but omits specific references to Measures 2.8 and 2.9, and does not adequately connect to the Korean AI Basic Act's requirements for meaningful explanations."
Q026,baseline,NIST_AI_RMF,intermediate,common,high,G3,0.8,"The response mostly complies with NIST AI RMF requirements for privacy risk evaluation but omits specific details on assessing re-identification risk, inference risks, training data privacy, data retention, and privacy-enhancing techniques."
Q027,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.8,"The response mostly complies with NIST AI RMF by addressing key monitoring and response strategies for model drift, but it lacks specific mention of the required measures for identifying and quantifying drift as outlined in the ground truth."
Q028,baseline,NIST_AI_RMF,basic,common,medium,G2,0.6,The response addresses some key aspects of the NIST AI RMF but omits specific compliance obligations such as the integration of feedback into evaluation metrics and the establishment of response SLAs.
Q029,baseline,NIST_AI_RMF,advanced,common,high,G4,0.8,"The response mostly complies with NIST AI RMF requirements but lacks specific details on the involvement of internal experts and external auditors, which are critical for comprehensive compliance."
Q030,baseline,NIST_AI_RMF,advanced,lending,high,G4,0.6,"The response addresses some key components of the NIST AI RMF but omits critical regulatory requirements specific to the EU AI Act and Korean AI Basic Act, leading to notable omissions."
Q031,baseline,NIST_AI_RMF,intermediate,lending,high,G4,0.8,"The AI response mostly complies with NIST AI RMF by identifying risk response options, but it misstates the order of risk responses and omits the critical option of rejecting deployment if bias cannot be mitigated."
Q032,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response addresses some key elements of the NIST AI RMF incident response process but omits specific obligations related to communication with affected communities and regulatory notification, which are critical for full compliance."
Q033,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.8,"The response identifies key compliance obligations and interprets them mostly accurately, but it omits specific measurable activities from the NIST AI RMF and does not fully address the integration of stakeholder engagement as required."
Q034,baseline,NIST_AI_RMF,advanced,common,high,G4,0.8,"The response mostly complies with NIST AI RMF requirements but omits specific details on enumerating and quantifying residual risks, which are critical for full compliance."
Q035,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.6,"The response addresses some key requirements of the NIST AI RMF but omits specific obligations related to sustaining AI value and deactivation criteria, such as scheduled model refresh cycles and the establishment of a deactivation trigger matrix."
Q036,baseline,NIST_AI_RMF,basic,common,low,G4,0.8,"The response mostly complies with NIST AI RMF requirements by identifying the need for diverse perspectives in AI risk management, but it lacks specific mention of the detailed obligations outlined in the ground truth."
Q037,baseline,NIST_AI_RMF,intermediate,common,low,G3,0.8,"The response identifies key engagement mechanisms and emphasizes stakeholder involvement, but it omits specific compliance obligations outlined in NIST AI RMF GOVERN 5.1 and 5.2, such as the need for a formal feedback adjudication process and specific examples relevant to financial AI governance."
Q038,baseline,NIST_AI_RMF,intermediate,compliance,high,G1,0.8,The response mostly complies with NIST AI RMF requirements but omits specific legal context and detailed impact analysis related to the financial regulatory framework.
Q039,baseline,NIST_AI_RMF,basic,common,low,G4,0.8,The response identifies key aspects of the NIST AI RMF related to environmental impact but omits specific compliance obligations such as measuring energy consumption and including AI environmental impact in carbon accounting.
Q040,baseline,NIST_AI_RMF,advanced,common,medium,G4,0.8,The response mostly complies with NIST AI RMF requirements for developing sector-specific profiles but omits specific steps such as defining a Target Profile and identifying gaps between Current and Target profiles.
Q041,baseline,NIST_AI_RMF,intermediate,investment,medium,G1,0.8,"The response mostly complies with NIST AI RMF requirements by identifying the need for targeted application scope and operator proficiency, but it lacks specific details on capability limits and assessment processes as outlined in the ground truth."
Q042,baseline,NIST_AI_RMF,advanced,insurance,high,G1,0.8,"The response mostly complies with NIST AI RMF requirements but omits specific details on temporal, geographic, demographic, and condition generalizability, which are critical for validating the insurance pricing AI."
Q043,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response identifies some relevant regulatory requirements and suggests actions, but it omits critical obligations under the NIST AI RMF, particularly the specific steps for managing emergent risks and fails to address the need for model suspension or correction before reinstatement."
Q044,baseline,NIST_AI_RMF,basic,common,low,G4,0.6,"The response addresses some key aspects of the NIST AI RMF but omits specific obligations such as the need for annual AI literacy briefings and independent assurance on AI risk management, leading to notable omissions."
Q045,baseline,NIST_AI_RMF,intermediate,common,medium,G1,0.6,"The response addresses some key compliance obligations but notably omits specific documentation requirements from NIST AI RMF, such as knowledge limits and legal context related to financial regulations."
Q046,baseline,NIST_AI_RMF,advanced,common,high,G1,0.6,"The response partially addresses NIST AI RMF requirements but omits specific metrics and thresholds outlined in the ground truth, leading to notable omissions."
Q047,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.6,"The response addresses some key elements of the NIST AI RMF's MANAGE function but omits specific requirements such as the pre-review package, risk prioritization, and go/no-go decision processes."
Q048,baseline,NIST_AI_RMF,advanced,common,low,G4,0.8,The response mostly complies with NIST AI RMF recommendations but omits specific metrics and detailed compliance obligations relevant to financial AI governance.
Q049,baseline,NIST_AI_RMF,intermediate,common,high,G4,0.8,The response mostly complies with NIST AI RMF guidance on risk prioritization but omits specific references to critical prioritization factors and regulatory classifications relevant to financial AI governance.
Q050,baseline,NIST_AI_RMF,advanced,common,medium,G4,0.8,"The response mostly complies with NIST AI RMF requirements but omits specific details on taxonomy alignment, risk appetite integration, and reporting integration, which are critical for full compliance."
Q051,baseline,NIST_AI_RMF,basic,common,low,G3,0.6,"The response addresses some transparency and documentation requirements but omits critical elements such as the need for a clear articulation of the organization's AI risk philosophy and governance structure, as well as the approval by senior leadership."
Q052,baseline,NIST_AI_RMF,basic,common,low,G4,0.6,"The response addresses some key aspects of the NIST AI RMF but omits specific details on defining review frequencies by risk tier and does not clearly assign accountability for each AI system, leading to notable omissions."
Q053,baseline,NIST_AI_RMF,basic,common,medium,G1,0.6,"The response partially addresses regulatory compliance by identifying some relevant regulations and risks, but it misclassifies the system as 'High Impact' without adequately interpreting the NIST AI RMF MAP 2.1 requirements for task definition, methods, and outputs."
Q054,baseline,NIST_AI_RMF,intermediate,common,medium,G1,0.8,"The response identifies and interprets several key regulatory requirements related to scientific integrity and TEVV considerations, but it omits specific details on data representativeness, construct validity, and documentation completeness as outlined in the NIST AI RMF."
Q055,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.8,"The response identifies relevant regulatory frameworks and key compliance obligations but omits specific references to NIST AI RMF Part 1 §3.1 and MEASURE 2.5, leading to minor gaps in regulatory interpretation."
Q056,baseline,NIST_AI_RMF,advanced,lending,high,G1,0.8,"The response identifies key challenges related to data quality, interpretability, and ethical considerations, but it lacks specific references to the performance, fairness, and operational baselines outlined in the NIST AI RMF."
Q057,baseline,NIST_AI_RMF,basic,common,low,G3,0.6,"The response addresses some key compliance obligations under the NIST AI RMF but omits specific requirements such as establishing a central AI incident registry and conducting quarterly AI risk forums, which are critical for comprehensive compliance."
Q058,baseline,NIST_AI_RMF,intermediate,common,low,G3,0.8,The response correctly identifies the importance of industry-level AI risk information sharing as per NIST AI RMF but lacks specific mention of all key compliance obligations and relevant forums for financial institutions.
Q059,baseline,NIST_AI_RMF,intermediate,common,high,G2,0.6,"The response addresses some key regulatory requirements but omits specific obligations under the NIST AI RMF and relevant laws such as the Korean AI Basic Act and EU AI Act, leading to notable omissions."
Q060,baseline,NIST_AI_RMF,advanced,common,high,G2,0.8,"The response mostly complies with regulatory requirements by addressing key bias categories and evaluation steps, but it omits specific references to the NIST AI RMF's three major categories of bias and does not fully integrate the intersectional bias and feedback loop risk aspects."
