id,condition,regulation,difficulty,financial_domain,risk_level,governance_axis,regulatory_accuracy,practical_utility,completeness,clarity,risk_awareness,overall_score,strengths,weaknesses,total_tokens
Q001,baseline,NIST_AI_RMF,basic,common,high,G4,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively outlines key roles and responsibilities while emphasizing the importance of human oversight in high-risk scenarios.,"While it references relevant regulations, it could more explicitly connect the roles to specific NIST AI RMF functions for enhanced clarity.",1178
Q002,baseline,NIST_AI_RMF,basic,common,medium,G4,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a clear structure and practical recommendations for compliance and risk management.,"It lacks specific references to the Korean AI Basic Act and the EU AI Act, which are crucial for a global financial institution.",1169
Q003,baseline,NIST_AI_RMF,intermediate,common,high,G1,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively outlines the process for defining and documenting risk tolerance levels while referencing relevant regulations.,It could improve by explicitly linking all points back to specific NIST AI RMF guidelines for enhanced regulatory accuracy.,1201
Q004,baseline,NIST_AI_RMF,intermediate,common,medium,G3,4.0,5.0,4.0,5.0,4.0,4.4,"The response effectively outlines trustworthiness characteristics and their governance implications, providing relevant regulatory references.","While the response covers many key aspects, it could more explicitly connect all characteristics to the NIST AI RMF framework and include a checklist as suggested in the ground truth.",1436
Q005,baseline,NIST_AI_RMF,basic,common,medium,G4,4.0,4.5,4.0,4.5,4.5,4.3,The response effectively outlines key steps for managing AI system inventory in alignment with NIST AI RMF guidelines.,It lacks specific references to the need for linking the inventory to regulatory mappings as highlighted in the ground truth.,1245
Q006,baseline,NIST_AI_RMF,advanced,common,medium,G2,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively outlines key provisions for safe decommissioning and emphasizes the importance of human oversight.,"While it covers many aspects, it could more explicitly reference the specific requirements of NIST AI RMF GOVERN 1.7 and MANAGE 2.4.",1167
Q007,baseline,NIST_AI_RMF,intermediate,common,high,G4,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines executive responsibilities and the structure of the AI Review Committee.,It lacks specific references to the NIST AI RMF's explicit requirements and does not fully address the need for documentation and traceability of executive decisions.,1208
Q008,baseline,NIST_AI_RMF,advanced,lending,high,G2,4.0,4.5,4.0,4.5,4.5,4.3,"The response effectively outlines the roles of AI and human officers in the loan approval process, aligning well with NIST AI RMF principles.","While the response is comprehensive, it could benefit from more explicit references to specific NIST AI RMF sections and a deeper exploration of logging requirements.",1204
Q009,baseline,NIST_AI_RMF,basic,common,low,G4,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a structured overview of training requirements and emphasizes the importance of human oversight.,It lacks specific details on role-differentiated training and does not fully align with the comprehensive requirements outlined in the NIST AI RMF.,1098
Q010,baseline,NIST_AI_RMF,intermediate,common,medium,G4,4.0,4.5,4.0,4.5,4.5,4.3,The response effectively outlines key practices for fostering a safety-first culture and aligns well with NIST AI RMF documentation requirements.,"While the response is comprehensive, it could benefit from more explicit references to specific sections of the NIST AI RMF that directly relate to the governance requirements mentioned.",1277
Q011,baseline,NIST_AI_RMF,intermediate,common,high,G4,4.0,4.5,4.0,4.5,4.5,4.3,The response effectively outlines key steps for managing third-party AI risks and emphasizes the importance of compliance and oversight.,"While it covers many aspects, it could more explicitly reference specific NIST AI RMF sections and include contingency planning for high-risk scenarios.",1283
Q012,baseline,NIST_AI_RMF,advanced,common,high,G2,4.0,4.5,4.0,4.5,4.5,4.3,The response effectively identifies key risks and provides actionable recommendations for the AI Review Committee.,"While it covers many relevant risks, it lacks specific references to NIST AI RMF Appendix B and does not fully address the need for continuous monitoring post-deployment.",1231
Q013,baseline,NIST_AI_RMF,basic,lending,high,G1,4.0,4.5,4.0,4.5,4.5,4.3,The response provides a comprehensive overview of the contextual information required for compliance with NIST AI RMF.,"It lacks specific references to the applicable legal context under the EU AI Act and Korean AI Basic Act, which could enhance regulatory accuracy.",1154
Q014,baseline,NIST_AI_RMF,intermediate,lending,high,G1,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines key risk tolerance elements and emphasizes the importance of stakeholder considerations and human oversight.,"It lacks specific performance tolerance thresholds and detailed metrics as outlined in the ground truth, which are critical for completeness.",1125
Q015,baseline,NIST_AI_RMF,basic,lending,low,G1,4.0,4.0,3.5,4.5,4.0,4.0,The response provides a structured approach to assessing credit scoring AI using the NIST AI RMF framework.,It lacks specific details on the quantitative business benefits and non-monetary costs as outlined in the ground truth.,1177
